DATE;Heure;credit;debit;capital
21-05-2012;00:00:00;0;1;7
26-10-2012;00:00:00;31;0;38
29-10-2012;00:00:00;0;1;37
04-11-2012;00:00:00;0;1;36
08-11-2012;00:00:00;0;1;35
12-11-2012;00:00:00;0;1;34
16-11-2012;00:00:00;0;1;33
20-11-2012;00:00:00;0;2;31
26-11-2012;00:00:00;0;1;30
30-11-2012;00:00:00;0;2;28
02-12-2012;00:00:00;0;1;27
05-12-2012;00:00:00;0;1;26
08-12-2012;00:00:00;0;1;25
10-12-2012;00:00:00;0;1;24
12-12-2012;00:00:00;0;1;23
14-12-2012;00:00:00;0;1;22
16-12-2012;00:00:00;0;1;21
17-12-2012;00:00:00;0;1;20
19-12-2012;00:00:00;0;1;19
21-12-2012;00:00:00;0;1;18
30-12-2012;00:00:00;0;2;16
01-01-2013;00:00:00;0;1;15
02-01-2013;00:00:00;0;1;14
04-01-2013;00:00:00;0;1;13
06-01-2013;00:00:00;0;1;12
08-01-2013;00:00:00;0;1;11
10-01-2013;00:00:00;0;1;10
12-01-2013;00:00:00;0;1;9
15-01-2013;00:00:00;0;1;8
17-01-2013;00:00:00;0;1;7
19-01-2013;00:00:00;0;1;6
20-01-2013;00:00:00;0;2;4
24-01-2013;00:00:00;0;1;3
25-01-2013;00:00:00;0;1;2
26-01-2013;00:00:00;0;1;1
27-01-2013;00:00:00;3;0;4
27-01-2013;00:00:00;0;1;3
31-01-2013;00:00:00;0;1;2
02-02-2013;00:00:00;12;0;14
02-02-2013;00:00:00;0;1;13
04-02-2013;00:00:00;0;1;13
06-02-2013;00:00:00;0;1;12
08-02-2013;00:00:00;0;2;10
11-02-2013;00:00:00;0;2;8
14-02-2013;00:00:00;0;1;7
17-02-2013;00:00:00;0;1;6
18-02-2013;00:00:00;0;1;5
20-02-2013;00:00:00;0;1;4
21-02-2013;00:00:00;0;1;3
23-02-2013;00:00:00;0;1;2
25-02-2013;00:00:00;4;0;5
25-02-2013;00:00:00;0;1;1
26-02-2013;00:00:00;0;1;4
28-02-2013;00:00:00;0;1;3
02-03-2013;00:00:00;0;1;2
04-03-2013;00:00:00;0;1;1
06-03-2013;00:00:00;4;0;5
08-03-2013;00:00:00;0;1;4
09-03-2013;00:00:00;0;1;3
11-03-2013;00:00:00;0;1;2
12-03-2013;00:00:00;0;1;4
12-03-2013;00:00:00;0;1;5
12-03-2013;00:00:00;1;0;6
12-03-2013;00:00:00;1;0;5
12-03-2013;00:00:00;1;0;4
12-03-2013;00:00:00;0;1;5
14-03-2013;00:00:00;4;0;6
14-03-2013;00:00:00;0;1;5
14-03-2013;00:00:00;0;1;4
15-03-2013;00:00:00;0;0;3
15-03-2013;00:00:00;0;1;3
15-03-2013;00:00:00;1;0;6
16-03-2013;00:00:00;0;0;4
16-03-2013;00:00:00;0;0;5
16-03-2013;00:00:00;0;0;5
16-03-2013;00:00:00;0;0;6
17-03-2013;00:00:00;0;1;3
19-03-2013;00:00:00;0;1;2
21-03-2013;00:00:00;0;1;1
25-03-2013;00:00:00;0;1;0
27-03-2013;00:00:00;0;1;0
27-03-2013;00:00:00;1;0;1
02-04-2013;00:00:00;0;2;18
02-04-2013;00:00:00;20;0;20
09-04-2013;00:00:00;0;1;17
09-04-2013;00:00:00;0;2;15
27-04-2013;00:00:00;0;1;14
30-04-2013;00:00:00;0;1;13
12-05-2013;00:00:00;0;1;12
19-05-2013;00:00:00;0;1;11
24-05-2013;00:00:00;0;1;10
